Plant url,Common name,Common Name - MBG,Botanical name,Botanical Name - MBG,Type,Family,Native range,Zone,Zone low,Zone high,Height,Height low,Height high,Unit,Spread,Spread low,Spread high,Unit,Bloom Time,Bloom Description,Sun,Water,Maintenance,Suggested Use,Flower,Attracts,Fruit,Leaf,Other,Tolerate,Culture,Noteworthy characteristics,Problems,Garden uses,Hummingbirds,Butterflies,Birds,Erosion,Rabbit,Black Walnut,Drought,Clay Soil,Deer,Dry Soil,Shallow-Rocky Soil,Heavy Shade,Wet Soil,Air Pollution
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=291890&isprofile=1&basic=Glossy+Abelia,Glossy Abelia, glossy abelia ,Abelia Grandiflora,Abelia × grandiflora , Deciduous shrub, Caprifoliaceae, origin unknown, 5 to 9, 5 , 9, 3.00 to 6.00 feet, 3.00 ,6.00,feet, 3.00 to 6.00 feet, 3.00 ,6.00,feet, May to September, White/flushed pink, Full sun to part shade, Medium, Low," Hedge, Naturalize"," Showy, Fragrant",,, Good Fall,, Erosion,"
Culture
Easily grown in average, medium, well-drained soil in full sun to part shade. Best flowering in full sun. Prefers moist, organically rich soils which drain well. Somewhat evergreen in the South, but generally deciduous in the St. Louis area where stems may suffer substantial damage (including dying to the ground) in cold winters. Significant stem damage can be expected when winter temperatures approach zero degrees F. Best sited in a protected location in the St. Louis area. Blooms on new wood, so prune as needed (e.g., remove stems lost to winter and, if desired, thin to the ground up to 1/3 of old stems) in late winter to early spring.
","
Noteworthy Characteristics
Abelia × grandiflora is a cross between A. chinensis and A. uniflora. It is a rounded, spreading, multi-stemmed shrub in the honeysuckle family. Typically grows on gracefully arching branches to 2-4' tall in the St. Louis area, but usually taller (to 6' tall ) in the warm winter climates of the South (USDA Zones 8-9). In years where the stems die to the ground in winter but the plant survives, flowering will still occur, but on smaller plants that typically reach a height of only 1-1.5'. Features clusters of white-tinged-pink, bell-shaped flowers (to 3/4"" long) which appear in the upper leaf axils and stem ends over a long and continuous late spring to fall bloom period. Flowers are fragrant. Ovate, glossy, dark green leaves (to 1.25"" long) turn purplish-bronze in autumn.Genus name honors Dr. Clarke Abel (1780-1826), physician and naturalist, who collected seed and plants as part of a British expedition to China in 1817.Specific epithet means large flowered.
","
Problems
No serious insect or disease problems. Winter die-back may occur in the St. Louis area.
","
Garden Uses
Specimen or grouping or mass for shrub borders or foundations. Also effective as an informal hedge or low screen (plants tend to lose attractive graceful shape if pruned or sheared to a more formal hedge look) in southern areas where winter kill is not a concern. Mass on slopes or banks for attractive shrubby cover and erosion control.
",0,0,0,1,0,0,0,0,0,0,0,0,0,0
Not found,Kaleidoscope Abelia,0,Abelia Grandiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not found,Rose Creek Abelia,0,Abelia Grandiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=275408&isprofile=1&basic=Japanese+Maple,Japanese Maple, Japanese maple ,Acer Palmatum,Acer palmatum , Tree, Sapindaceae," Korea, Japan", 5 to 8, 5 , 8, 10.00 to 25.00 feet, 10.00 ,25.00,feet, 10.00 to 25.00 feet, 10.00 ,25.00,feet, April, Reddish-purple, Full sun to part shade, Medium, Low,, Insignificant,,, Good Fall,," Rabbit, Black Walnut","
Culture
Best grown in moist, organically rich, slightly acidic, well-drained soils in full sun to part shade.  Grows well in sandy loams.  May be grown in full sun in the northern parts of its growing range, but prefers some part afternoon shade in the southern parts (including St. Louis) of its growing range.  New foliage may scorch in full sun locations in hot summers areas, particularly if soils are not kept consistently moist.  Mulch helps retain soil moisture and keep roots cool.  Site in locations protected from strong winds.  Avoid hot and dry sites.  Fertilize in spring before leaves emerge.  Pruning is best kept to a minimum, but if needed should be done in late fall to mid winter.  Spring or summer pruning often  results in significant bleeding.
","
Noteworthy Characteristics
Acer palmatum, commonly called Japanese maple, is a deciduous shrub or small tree that typically grows to 10-25' (infrequently to 40') tall.  It is native to Japan, Korea and China.  General plant form is rounded to broad-rounded, often with low branching.  Each palmate green leaf (2-5"" long) has 5 or 7 but less frequently 9 pointed toothed lobes.  Small reddish-purple flowers in umbels bloom in mid spring (April).  The flowers are rather attractive close up, but are not particularly showy from a distance.  Flowers are followed by samaras (to 3/4"" long) in pairs.  Samaras ripen in September-October.  Fall color includes shades of yellow, red-purple and bronze.  Cultivars (often grafted) are quite variable.Genus name is the Latin name for a maple tree.Specific epithet is in reference to the palmate nature of the leaves. Each leaf has several lobes (typically 5–7) that all originate from one point looking like an open hand with outstretched fingers.
","
Problems
Potential disease problems include stem canker, leaf spots, fusarium, verticillium wilt, botrytis, anthracnose and root rots.  Potential insect pests include  aphids, scale, borers, bagworms, and root weevils.  Mites may be troublesome.  Foliage tends to leaf out early in spring and is subject to damage from late spring frosts.  Chlorosis may occur in high pH soils.
","
Garden Uses
Japanese maples are generally grown for their attractive foliage and shape.  Specimen/accent or group around the home or yard or periphery of the border.  Good sun-dappled understory tree.  Woodland garden margins.  Screen.  Bonsai.
",0,0,0,0,1,1,0,0,0,0,0,0,0,0
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=275427&isprofile=1&basic=Shantung+Maple,Shantung Maple, shantung maple ,Acer Truncatum,Acer truncatum , Tree, Sapindaceae," Northern China, Manchuria, Korea", 4 to 8, 4 , 8, 20.00 to 25.00 feet, 20.00 ,25.00,feet, 15.00 to 20.00 feet, 15.00 ,20.00,feet, April, Greenish yellow, Full sun to part shade, Medium, Low,, Insignificant,,, Good Fall,, Drought,"
Culture
Easily grown in average, medium, well-drained soil in full sun to part shade. Prefers moist, acidic soils with good drainage. Established trees reportedly have good heat and drought tolerance.
","
Noteworthy Characteristics
Acer truncatum, commonly called Shangtung maple, is native to China. It is a small, rounded, deciduous understory tree that typically grows 20-25’ tall with a densely-branched, rounded crown. Features medium green leaves (to 5” across) that have 5 triangular lobes. Leaves emerge reddish purple in spring but mature to dark green. Good fall color features attractive shades of yellow and orange, sometime with purples and reds mixed in. Leaves may be truncate at the base as suggested by the species name. Leaf stems exude a milky sap when cut. Greenish-yellow flowers appear in April-May in clusters (corymbs). As with most maples, the flowers are not showy. Fruit is a samara (to 1.5” long). Sometimes also commonly called purpleblow maple.Genus name is the Latin name for a maple tree.Specific epithet means cut off square in reference to leaves that may be truncated or cut off square at the base.
","
Problems
No serious insect or disease problems.
","
Garden Uses
Excellent small landscape tree or street tree. Specimen around the home for patios and small areas.
",0,0,0,0,0,0,1,0,0,0,0,0,0,0
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=281049&isprofile=1&basic=Red+Buckeye,Red Buckeye, red buckeye ,Aesculus Pavia,Aesculus pavia , Deciduous shrub, Sapindaceae, North America, 4 to 8, 4 , 8, 12.00 to 15.00 feet, 12.00 ,15.00,feet, 12.00 to 15.00 feet, 12.00 ,15.00,feet, April to May, Bright red, Full sun to part shade, Medium, Medium," Hedge, Flowering Tree, Rain Garden", Showy, Hummingbirds, Showy,,, Clay Soil,"
Culture
Grow in average, medium moisture, well-drained soil in full sun to part shade. Prefers moist, fertile soils. Foliage tends to scorch and generally depreciate in dry conditions. Foliage appreciates some afternoon shade in hot summer climates. Can be grown from seed, and may flower as early as the second or third year.
","
Noteworthy Characteristics
Aesculus pavia, commonly called red buckeye, is a deciduous clump-forming shrub or small tree with an irregular rounded crown. It typically grows 10-20’ tall. Showy, erect, 4-10” long panicles of red to orange-red, narrow-tubular flowers appear in spring. Palmately compound, shiny, dark green leaves are attractive in spring and early summer, but usually begin to decline by August. Smooth, light brown, globular (1-2” diameter) seed capsules encase 1-3 shiny seeds called buckeyes that ripen in the fall. Seeds are poisonous and are avoided by most wildlife. Fall foliage color is unremarkable. Red buckeye is native to southeastern Missouri where it typically occurs in low rich wooded valleys, at bluff bases, on wooded slopes and along streams (Steyermark). Flowers are attractive to ruby-throated hummingbirds and bloom in St. Louis at about the same time that the hummingbirds return to the area in spring migration.Genus name is the Latin name for a kind of oak bearing edible acorns but applied by Linnaeus to this genus.Specific epithet honors 17th century Dutch botanist Peter Paaw (Petrus Pavius).
","
Problems
Leaf blotch can be a significant problem.
","
Garden Uses
Specimen flowering tree, screen or hedge.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0
Not found,Artichoke Agave,0,Agave Parryi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=371193&isprofile=1&basic=Aloe,Aloe, torch plant ,Aloe Vera,Aloe aristata , Broadleaf evergreen, Asphodelaceae, South Africa, 7 to 10, 7 , 10, 0.50 to 0.75 feet, 0.50 ,0.75,feet, 1.00 to 2.00 feet, 1.00 ,2.00,feet, June to August, Coral-orange, Full sun to part shade, Dry, Low,, Showy,,,,," Drought, Dry Soil, Shallow-Rocky Soil","
Culture
Easily grown in dry, very well-draining soils in full sun to part shade. Prefers some light shade if grown outdoors in a climate with hot summers. As a houseplant, this succulent requires as much bright light as possible. Tolerates some drought once established. Reduce watering during the winter. A relatively vigorous grower and easily propagated from offsets. Hardy in Zones 7-11.
","
Noteworthy Characteristics
Aloe aristata, commonly called torch plant or lace aloe, is a low-growing, evergreen, rosette-forming succulent native to a range of habitats in southern Africa. These include the dry sands of the Karoo region and cool, rocky slopes in Lesotho and KwaZulu-Natal. Lace aloe is often found growing in clumps of ten or more rosettes, forming a low mound up to 2' wide. The rosettes can reach up to 8"" in diameter and are made up of dark, grey-green, triangle shaped foliage (up to 6"" long) with small white spots and fine, white hairs along their margins. In summer, flowering stalks (up to 15"" tall) appear from mature rosettes bearing a cluster of tubular, pendulous, coral-orange blooms.Genus name comes from the Arabic name of these perennial succulents.The specific epithet aristata means ""bearing bristles or a beard"", and refers to the fine, white hairs found on the leaf margins of this species.
","
Problems
Avoid overhead watering, as this can lead to rotting within the rosettes. Constantly wet or poorly draining soils can also lead to rot. Watch for mealy bugs and scale, particularly when grown indoors.
","
Garden Uses
Desert gardens, rock gardens, xeriscaping. Suitable for container growing and use as a houseplant.
",0,0,0,0,0,0,1,0,0,1,1,0,0,0
Not found,Flame Acanthus,0,Anisacanthus Quadrifidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not found,Texas Gold Columbine,0,Aquiligia Chrysantha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
