Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/Podocarpus_macrophyllus,Podocarpus,Podocarpus Macrophyllus,,,,,,,
https://en.wikipedia.org/wiki/Podranea_ricasoliana,Pandora Vine,Podranea Ricasoliana,,,,,,,
https://en.wikipedia.org/wiki/Polemonium_reptans,Jacob's Ladder,Polemonium Reptans,,,,,,,
https://en.wikipedia.org/wiki/Polianthes_tuberosa,Double Tuberose,Polianthes Tuberosa,,,,,,,
https://en.wikipedia.org/wiki/Poliomintha_longiflora,Mexican Oregano,Poliomintha Longiflora,,,,,,,
https://en.wikipedia.org/wiki/Polygonum_capitatum,Smartweed,Polygonum Capitatum,,,,,,,
https://en.wikipedia.org/wiki/Polystichum_acrostichoides,Christmas Fern,Polystichum Acrostichoides,,,,,,,
https://en.wikipedia.org/wiki/Polystichum_munitum,Western Sword Fern,Polystichum Munitum,,,,,,,
https://en.wikipedia.org/wiki/Polystichum_polyblepharum,Tassel Fern,Polystichum Polyblepharum,,,,,,,
https://en.wikipedia.org/wiki/Polystichum_tsus-simense,Korean Rock Fern,Polystichum Tsus-simense,,,,,,,
https://en.wikipedia.org/wiki/Pontederia_cordata,Pickerel Weed,Pontederia Cordata,,,,,,,
https://en.wikipedia.org/wiki/Populus_alba,Silver Leaf Poplar,Populus Alba,,,,,,,
https://en.wikipedia.org/wiki/Populus_deltoides,Cottonless Cottonwood,Populus Deltoides,,,,,,,
https://en.wikipedia.org/wiki/Populus_fremontii,Western Cottonwood,Populus Fremontii,,,,,,,
https://en.wikipedia.org/wiki/Populus_tremuloides,Trembling Aspen,Populus Tremuloides,,,,,,,
https://en.wikipedia.org/wiki/Portulaca_grandiflora,Portulaca,Portulaca Grandiflora,,,,,,,
https://en.wikipedia.org/wiki/Portulaca_oleracea,Purslane,Portulaca Oleracea,,,,,,,
https://en.wikipedia.org/wiki/Portulacaria_afra,Elephant Bush,Portulacaria Afra,,,,,,,
https://en.wikipedia.org/wiki/Prosopis_chilensis,Chilean Mesquite,Prosopis Chilensis,,,,,,,
https://en.wikipedia.org/wiki/Prosopis_glandulosa,Honey Mesquite,Prosopis Glandulosa,,,,,,,
https://en.wikipedia.org/wiki/Prosopis_velutina,Velvet Mesquite,Prosopis Velutina,,,,,,,
https://en.wikipedia.org/wiki/Prunella_laciniata,Self Heal,Prunella Laciniata,,,,,,,
https://en.wikipedia.org/wiki/Prunus_armeniaca,Apricot,Prunus Armeniaca,,,,,,,
https://en.wikipedia.org/wiki/Prunus_avium,3-N-1 Cherry,Prunus Avium,,,,,,,
