Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/abelia_grandiflora,Glossy Abelia,Abelia Grandiflora,1,1,0,0,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Abelia,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279003&isprofile=1&basic=Abelia,
https://en.wikipedia.org/wiki/abelia_grandiflora,Kaleidoscope Abelia,Abelia Grandiflora,,,,,,,
https://en.wikipedia.org/wiki/abelia_grandiflora,Rose Creek Abelia,Abelia Grandiflora,,,,,,,
https://en.wikipedia.org/wiki/Acer_palmatum,Japanese Maple,Acer Palmatum,,,,,,,
https://en.wikipedia.org/wiki/acer_truncatum,Shantung Maple,Acer Truncatum,,,,,,,
https://en.wikipedia.org/wiki/aesculus_pavia,Red Buckeye,Aesculus Pavia,,,,,,,
https://en.wikipedia.org/wiki/agave_parryi,Artichoke Agave,Agave Parryi,,,,,,,
https://en.wikipedia.org/wiki/Aloe_vera,Aloe,Aloe Vera,,,,,,,
https://en.wikipedia.org/wiki/anisacanthus_quadrifidus,Flame Acanthus,Anisacanthus Quadrifidus,,,,,,,
https://en.wikipedia.org/wiki/aquiligia_chrysantha,Texas Gold Columbine,Aquiligia Chrysantha,,,,,,,
https://en.wikipedia.org/wiki/Asparagus_Densiflorus,Foxtail Fern,Asparagus Densiflorus,,,,,,,
https://en.wikipedia.org/wiki/Astrolepis,Wavy Cloak Fern,Astrolepis Sinuata,,,,,,,
https://en.wikipedia.org/wiki/bignonia_capreolata,Cross Vine,Bignonia Capreolata,,,,,,,
https://en.wikipedia.org/wiki/buchloe_dactyloides,Buffalo Grass,Buchloe Dactyloides,,,,,,,
https://en.wikipedia.org/wiki/Buddleja_davidii,Butterfly Bush,Buddleia Davidii,,,,,,,
https://en.wikipedia.org/wiki/Buxus_microphylla,Boxwood,Buxus Microphylla,,,,,,,
https://en.wikipedia.org/wiki/Buxus_sempervirens,Common Boxwood,Buxus Sempervirens,,,,,,,
https://en.wikipedia.org/wiki/Caladium,Caladium,Caladium Bicolor,,,,,,,
https://en.wikipedia.org/wiki/Callicarpa_americana,American Beautyberry,Callicarpa Americana,,,,,,,
https://en.wikipedia.org/wiki/Calyptocarpus,Horse Herb,Calyptocarpus Vialis,,,,,,,
https://en.wikipedia.org/wiki/Carex_tumulicola,Berkeley Sedge,Carex Tumulicola,,,,,,,
https://en.wikipedia.org/wiki/Pecan,Pecan Tree,Carya Illinoinensis,,,,,,,
https://en.wikipedia.org/wiki/Cercis_canadensis,Eastern Redbud,Cercis Canadensis,,,,,,,
https://en.wikipedia.org/wiki/Cercis_canadensis,Texas Redbud,Cercis Canadensis var. texensis,,,,,,,
https://en.wikipedia.org/wiki/Chamaemelum_nobile,Roman Chamomile,Chamaemelum Nobile,,,,,,,
https://en.wikipedia.org/wiki/Chasmanthium_latifolium,Inland Sea Oats,Chasmanthium Latifolium,,,,,,,
https://en.wikipedia.org/wiki/Chasmanthium_sessiliflorum,Southern Sea Oats,Chasmanthium Sessiliflorum,,,,,,,
https://en.wikipedia.org/wiki/Chilopsis,Desert Willow,Chilopsis Linearis,,,,,,,
https://en.wikipedia.org/wiki/Chrysactinia_mexicana,Damianita,Chrysactinia Mexicana,,,,,,,
https://en.wikipedia.org/wiki/Meyer_lemon,Meyer Lemon,Citrus Meyeri,,,,,,,
https://en.wikipedia.org/wiki/Cordyline_australis,Cordyline,Cordyline Australis,,,,,,,
https://en.wikipedia.org/wiki/Cordyline_fruticosa,Cordyline,Cordyline Fruticosa,,,,,,,
https://en.wikipedia.org/wiki/Coreopsis_grandiflora,Coreopsis,Coreopsis Grandiflora,,,,,,,
https://en.wikipedia.org/wiki/Coreopsis_lanceolata,Lanceleaf Coreopsis,Coreopsis Lanceolata,,,,,,,
https://en.wikipedia.org/wiki/Coreopsis_rosea,Pink Coreopsis,Coreopsis Rosea,,,,,,,
https://en.wikipedia.org/wiki/Coreopsis_verticillata,Threadleaf Coreopsis,Coreopsis Verticillata,,,,,,,
https://en.wikipedia.org/wiki/Coriander,Cilantro,Coriandrum Sativum,,,,,,,
https://en.wikipedia.org/wiki/Costus,Ginger,Costus Woodsonii,,,,,,,
https://en.wikipedia.org/wiki/Cotinus_coggygria,Smoke Tree,Cotinus Coggygria,,,,,,,
https://en.wikipedia.org/wiki/Cynodon_dactylon,Bermuda Grass,Cynodon Dactylon,,,,,,,
https://en.wikipedia.org/wiki/Cyrtomium_falcatum,Japanese Holly Fern,Cyrtomium Falcatum,,,,,,,
https://en.wikipedia.org/wiki/Cyrtomium_fortunei,Fortune's Holly Fern,Cyrtomium Fortunei,,,,,,,
https://en.wikipedia.org/wiki/dyschoriste_linearis,Snake Herb,Dyschoriste Linearis,,,,,,,
https://en.wikipedia.org/wiki/Echinacea_paradoxa,Yellow Coneflower,Echinacea Paradoxa,,,,,,,
https://en.wikipedia.org/wiki/Echinacea_purpurea,Purple Coneflower,Echinacea Purpurea,,,,,,,
https://en.wikipedia.org/wiki/Euonymus_fortunei,Wintercreeper,Euonymus Fortunei,,,,,,,
https://en.wikipedia.org/wiki/Eupatorium_hyssopifolium,Hyssopleaf Thoroughwort,Eupatorium Hyssopifolium,,,,,,,
https://en.wikipedia.org/wiki/Eupatorium_perfoliatum,Common Boneset,Eupatorium Perfoliatum,,,,,,,
https://en.wikipedia.org/wiki/Euphorbia_myrsinites,Donkey Tail Spurge,Euphorbia Myrsinites,,,,,,,
https://en.wikipedia.org/wiki/Fatsia_japonica,Japanese Aralia,Fatsia Japonica,,,,,,,
https://en.wikipedia.org/wiki/Ficus_lyrata,Fiddleleaf Fig,Ficus Lyrata,,,,,,,
https://en.wikipedia.org/wiki/Gaura_lindheimeri,Gaura,Gaura Lindheimeri,,,,,,,
https://en.wikipedia.org/wiki/Gerbera_jamesonii,Gerbera Daisy,Gerbera Jamesonii,,,,,,,
https://en.wikipedia.org/wiki/Hesperaloe_funifera,Giant Hesperaloe,Hesperaloe Funifera,,,,,,,
https://en.wikipedia.org/wiki/Hesperaloe_parviflora,Red Yucca,Hesperaloe Parviflora,,,,,,,
https://en.wikipedia.org/wiki/hibiscus_coccineus,Texas Star Hibiscus,Hibiscus Coccineus,,,,,,,
https://en.wikipedia.org/wiki/Hibiscus_syriacus,Rose of Sharon,Hibiscus Syriacus,,,,,,,
https://en.wikipedia.org/wiki/Hydrangea_macrophylla,Hydrangea,Hydrangea Macrophylla,,,,,,,
https://en.wikipedia.org/wiki/Hydrangea_quercifolia,Oakleaf Hydrangea,Hydrangea Quercifolia,,,,,,,
https://en.wikipedia.org/wiki/Hypericum_calycinum,Creeping St. Johnswort,Hypericum Calycinum,,,,,,,
https://en.wikipedia.org/wiki/ilex_decidua,Possumhaw Holly,Ilex Decidua,,,,,,,
https://en.wikipedia.org/wiki/Ilex_vomitoria,Yaupon Holly,Ilex Vomitoria,,,,,,,
https://en.wikipedia.org/wiki/Jasminum_officinale,Common Jasmine,Jasminum Officinale,,,,,,,
https://en.wikipedia.org/wiki/juniperus_horizontalis,Andorra Juniper,Juniperus Horizontalis,,,,,,,
https://en.wikipedia.org/wiki/juniperus_scopulorum,Wichita Blue Juniper,Juniperus Scopulorum,,,,,,,
https://en.wikipedia.org/wiki/Juniperus_virginiana,Red Cedar,Juniperus Virginiana,,,,,,,
https://en.wikipedia.org/wiki/lagerstroemia_indica,Crapemyrtle,Lagerstroemia Indica,,,,,,,
https://en.wikipedia.org/wiki/Lantana_camara,Lantana,Lantana Camara,,,,,,,
https://en.wikipedia.org/wiki/lantana_urticoides,Texas Lantana,Lantana Urticoides,,,,,,,
https://en.wikipedia.org/wiki/Lavandula_angustifolia,Lavender,Lavandula Angustifolia,,,,,,,
https://en.wikipedia.org/wiki/Leucophyllum_frutescens,Texas Sage,Leucophyllum Frutescens,,,,,,,
https://en.wikipedia.org/wiki/Liriope_muscari,Liriope,Liriope Muscari,,,,,,,
https://en.wikipedia.org/wiki/Lonicera_japonica,Honeysuckle,Lonicera Japonica,,,,,,,
https://en.wikipedia.org/wiki/Lonicera_pileata,Privet Honeysuckle,Lonicera Pileata,,,,,,,
https://en.wikipedia.org/wiki/Lonicera_sempervirens,Coral Honeysuckle,Lonicera Sempervirens,,,,,,,
https://en.wikipedia.org/wiki/Lonicera_tatarica,Red Honeysuckle,Lonicera Tatarica,,,,,,,
https://en.wikipedia.org/wiki/Lunaria_annua,Money Plant,Lunaria Annua,,,,,,,
https://en.wikipedia.org/wiki/Lupinus_texensis,Bluebonnet,Lupinus Texensis,,,,,,,
https://en.wikipedia.org/wiki/magnolia_soulangeana,Deciduous Magnolia,Magnolia Soulangeana,,,,,,,
https://en.wikipedia.org/wiki/Malvaviscus_arboreus var. drummondii,Turk's Cap,Malvaviscus Arboreus var. drummondii,,,,,,,
https://en.wikipedia.org/wiki/Melampodium_leucanthum,Black Foot Daisy,Melampodium Leucanthum,,,,,,,
https://en.wikipedia.org/wiki/Lemon_balm,Lemon Balm,Melissa Officinalis,,,,,,,
https://en.wikipedia.org/wiki/Spearmint,Spearmint,Mentha Spicata,,,,,,,
https://en.wikipedia.org/wiki/miscanthus_sinensis,Maiden Grass,Miscanthus Sinensis,,,,,,,
https://en.wikipedia.org/wiki/miscanthus_sinensis,Zebra Grass,Miscanthus Sinensis,,,,,,,
https://en.wikipedia.org/wiki/Muhlenbergia_capillaris,Hairawn Muhly,Muhlenbergia Capillaris,,,,,,,
https://en.wikipedia.org/wiki/Muhlenbergia_capillaris,Pink Muhly Grass,Muhlenbergia Capillaris,,,,,,,
https://en.wikipedia.org/wiki/Muhlenbergia_dumosa,Muhly Grass,Muhlenbergia Dumosa,,,,,,,
