Wiki link,common name,botanical name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
,Glossy Abelia,Abelia Grandiflora,1,1,0,0,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Abelia+Grandiflora,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=291890&isprofile=1&basic=Glossy+Abelia,
,Kaleidoscope Abelia,Abelia Grandiflora,1,1,0,0,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Abelia+Grandiflora,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=291890&isprofile=1&basic=Glossy+Abelia,
,Rose Creek Abelia,Abelia Grandiflora,1,1,0,0,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Abelia+Grandiflora,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=291890&isprofile=1&basic=Glossy+Abelia,
,Japanese Maple,Acer Palmatum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Acer+Palmatum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=275408&isprofile=1&basic=Acer+Palmatum,
,Shantung Maple,Acer Truncatum,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Acer+Truncatum,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=275427&isprofile=1&basic=Acer+Truncatum,
,Red Buckeye,Aesculus Pavia,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Aesculus+Pavia,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=281049&isprofile=1&basic=Aesculus+Pavia,
,,,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=279003&isprofile=1&basic=,
,Artichoke Agave,Agave Parryi,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Agave+Parryi,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=275753&isprofile=1&basic=Agave+Parryi,
,Aloe,Aloe Vera,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Aloe+Vera,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282195&isprofile=1&basic=Aloe+Vera,
,Flame Acanthus,Anisacanthus Quadrifidus,1,1,1,1,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderProfileResults.aspx?basic=Anisacanthus+Quadrifidus,http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=275348&isprofile=1&basic=Anisacanthus+Quadrifidus,
