Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/Cannabis_sativa,Marajuana - Sativa,Cannabis Sativa,,,,,,,
https://en.wikipedia.org/wiki/Caragana_arborescens,Siberian Peashrub,Caragana Arborescens,,,,,,,
https://en.wikipedia.org/wiki/Carex_amphibola,Creek Sedge,Carex Amphibola,,,,,,,
https://en.wikipedia.org/wiki/Carex_muskingumensis,Palm Sedge,Carex Muskingumensis,,,,,,,
https://en.wikipedia.org/wiki/Carex_pansa,California Meadow Sedge,Carex Pansa,,,,,,,
https://en.wikipedia.org/wiki/Carex_pensylvanica,Pennsylvania Sedge,Carex Pensylvanica,,,,,,,
https://en.wikipedia.org/wiki/Carex_plantaginea,Plantain-Leaved Sedge,Carex Plantaginea,,,,,,,
https://en.wikipedia.org/wiki/Carex_radiata,Eastern Star Sedge,Carex Radiata,,,,,,,
https://en.wikipedia.org/wiki/Carex_stricta,Tussock Sedge,Carex Stricta,,,,,,,
https://en.wikipedia.org/wiki/Carica_papaya,Papaya,Carica Papaya,,,,,,,
https://en.wikipedia.org/wiki/Carnegiea_gigantea,Saguaro Cactus,Carnegiea Gigantea,,,,,,,
https://en.wikipedia.org/wiki/Carpinus_caroliniana,America Hornbeam,Carpinus Caroliniana,,,,,,,
https://en.wikipedia.org/wiki/Carpobrotus_acinaciformis,Sour Fig,Carpobrotus Acinaciformis,,,,,,,
https://en.wikipedia.org/wiki/Caryota_mitis,Fishtail Palm,Caryota Mitis,,,,,,,
https://en.wikipedia.org/wiki/Cassia_fistula,Golden Shower Tree,Cassia Fistula,,,,,,,
https://en.wikipedia.org/wiki/Cassia_leptophylla,Gold Medallion Tree,Cassia Leptophylla,,,,,,,
https://en.wikipedia.org/wiki/Castanea_dentata,American Chestnut,Castanea Dentata,,,,,,,
https://en.wikipedia.org/wiki/Castanea_mollissima,Chinese Chestnut,Castanea Mollissima,,,,,,,
https://en.wikipedia.org/wiki/Casuarina_cunninghamiana,River She Oak,Casuarina Cunninghamiana,,,,,,,
https://en.wikipedia.org/wiki/Catalpa_speciosa,Western Catalpa,Catalpa Speciosa,,,,,,,
https://en.wikipedia.org/wiki/Catananche_caerulea,Blue Cupids Dart,Catananche Caerulea,,,,,,,
https://en.wikipedia.org/wiki/Catharanthus_roseus,Vinca,Catharanthus Roseus,,,,,,,
https://en.wikipedia.org/wiki/Cedrus_deodara,Deodar Cedar,Cedrus Deodara,,,,,,,
https://en.wikipedia.org/wiki/Celastrus_scandens,American Bittersweet,Celastrus Scandens,,,,,,,
https://en.wikipedia.org/wiki/Celtis_laevigata,Sugarberry,Celtis Laevigata,,,,,,,
https://en.wikipedia.org/wiki/Celtis_occidentalis,Common Hackberry,Celtis Occidentalis,,,,,,,
https://en.wikipedia.org/wiki/Centaurea_cineraria,Dusty Miller,Centaurea Cineraria,,,,,,,
https://en.wikipedia.org/wiki/Centaurea_dealbata,Persian Cornflower,Centaurea Dealbata,,,,,,,
https://en.wikipedia.org/wiki/Centaurea_montana,Mountain Bluet,Centaurea Montana,,,,,,,
https://en.wikipedia.org/wiki/Centranthus_ruber,Red Valerian,Centranthus Ruber,,,,,,,
https://en.wikipedia.org/wiki/Cephalotaxus_harringtonia,Spreading Plum Yew,Cephalotaxus Harringtonia,,,,,,,
https://en.wikipedia.org/wiki/Cerastium_alpinum,Alpine Mouse-Ear,Cerastium Alpinum,,,,,,,
https://en.wikipedia.org/wiki/Cerastium_tomentosum,Snow-in-Summer,Cerastium Tomentosum,,,,,,,
https://en.wikipedia.org/wiki/Ceratonia_siliqua,St. John's Beard,Ceratonia Siliqua,,,,,,,
https://en.wikipedia.org/wiki/Ceratostigma_plumbaginoides,Blue Hardy Plumbago Leadwort,Ceratostigma Plumbaginoides,,,,,,,
https://en.wikipedia.org/wiki/Ceratostigma_willmottianum,Chinese Plumbago,Ceratostigma Willmottianum,,,,,,,
https://en.wikipedia.org/wiki/Cercidiphyllum_japonicum,Katsura,Cercidiphyllum Japonicum,,,,,,,
https://en.wikipedia.org/wiki/Cestrum_aurantiacum,Yellow Jessamine,Cestrum Aurantiacum,,,,,,,
https://en.wikipedia.org/wiki/Cestrum_nocturnum,Night Blooming Jasmine,Cestrum Nocturnum,,,,,,,
https://en.wikipedia.org/wiki/Chaenomeles_speciosa,Red Flowering Quince,Chaenomeles Speciosa,,,,,,,
https://en.wikipedia.org/wiki/Chamaecyparis_obtusa,Hinoki False Cypress,Chamaecyparis Obtusa,,,,,,,
https://en.wikipedia.org/wiki/Chamaedorea_elegans,Neanthe Bella Palm,Chamaedorea Elegans,,,,,,,
https://en.wikipedia.org/wiki/Chamaerops_humilis,European Fan Palm,Chamaerops Humilis,,,,,,,
https://en.wikipedia.org/wiki/Chamelaucium_uncinatum,Geraldton Waxflower,Chamelaucium Uncinatum,,,,,,,
https://en.wikipedia.org/wiki/Chelone_glabra,White Turtlehead,Chelone Glabra,,,,,,,
https://en.wikipedia.org/wiki/Chlorophytum_comosum,Spider Plant,Chlorophytum Comosum,,,,,,,
https://en.wikipedia.org/wiki/Chrysobalanus_icaco,Coco Plum,Chrysobalanus Icaco,,,,,,,
https://en.wikipedia.org/wiki/Cinnamomum_camphora,Camphor tree,Cinnamomum Camphora,,,,,,,
https://en.wikipedia.org/wiki/Cissus_rhombifolia,Grape Ivy,Cissus Rhombifolia,,,,,,,
https://en.wikipedia.org/wiki/Citrullus_lanatus,Watermelon,Citrullus Lanatus,,,,,,,
https://en.wikipedia.org/wiki/Citrus_hystrix,Kieffer Lime,Citrus Hystrix,,,,,,,
https://en.wikipedia.org/wiki/Citrus_maxima,Chandler Pummelo,Citrus Maxima,,,,,,,
https://en.wikipedia.org/wiki/Citrus_reticulata,Clementine,Citrus Reticulata,,,,,,,
