Plantname,Category,Unit,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10,Wiki link,Evidence (Source text/Sentence)
Linnaea_×_grandiflora,Shrub,m,1.0,1.8,1.8,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Linnaea_%C3%97_grandiflora,"It is a deciduous or semievergreen multistemmed shrub with rounded , spreading , or gracefully arching branch to 1.0-1.8 m tall ."
Acer_palmatum,Tree,ft,20.0,33.0,33.0,52.0,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Acer_palmatum,"== Description == Acer palmatum is a deciduous shrub or small tree reaching height of 6 to 10 m ( 20 to 33 ft ) , rarely 16 metre ( 52 ft ) , often growing a an understory plant in shady woodland ."
Acer_palmatum,Tree,m,6.0,10.0,10.0,16.0,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Acer_palmatum,"== Description == Acer palmatum is a deciduous shrub or small tree reaching height of 6 to 10 m ( 20 to 33 ft ) , rarely 16 metre ( 52 ft ) , often growing a an understory plant in shady woodland ."
Acer_truncatum,Tree,ft,49.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Acer_truncatum,"Acer truncatum ( Shantung maple , Shandong maple , or purpleblow maple ) is a maple native to northern China , in the province of Gansu , Hebei , Henan , Jiangsu , Jilin , Liaoning , Inner Mongolia , Shaanxi , Shandong , Shanxi , and to Korea.It is a medium-sized deciduous tree growing to 15 metre ( 49 ft ) tall with a broad , rounded crown ."
Acer_truncatum,Tree,m,15.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Acer_truncatum,"Acer truncatum ( Shantung maple , Shandong maple , or purpleblow maple ) is a maple native to northern China , in the province of Gansu , Hebei , Henan , Jiangsu , Jilin , Liaoning , Inner Mongolia , Shaanxi , Shandong , Shanxi , and to Korea.It is a medium-sized deciduous tree growing to 15 metre ( 49 ft ) tall with a broad , rounded crown ."
Aesculus_pavia,Tree,ft,16.0,26.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Aesculus_pavia,"It reach a height of 16–26 foot ( 5–8 m ) , often growing in a multi-stemmed form ."
Aesculus_pavia,Tree,m,5.0,8.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Aesculus_pavia,"It reach a height of 16–26 foot ( 5–8 m ) , often growing in a multi-stemmed form ."
Aesculus_pavia,Tree,ft,45.0,55.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Aesculus_pavia,"The hybrid is a medium-sized tree to 45–55 foot ( 14–17 m ) tall , intermediate between the parent specie in most respect , but inheriting the red flower color from A. pavia ."
Aesculus_pavia,Tree,m,14.0,17.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Aesculus_pavia,"The hybrid is a medium-sized tree to 45–55 foot ( 14–17 m ) tall , intermediate between the parent specie in most respect , but inheriting the red flower color from A. pavia ."
Agave_parryi,Cacti/Succulent,x,x,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Agave_parryi,x
Aloe_vera,Cacti/Succulent,in,24.0,39.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Aloe_vera,"== Description == Aloe vera is a stemless or very short-stemmed plant growing to 60–100 cm ( 24–39 in ) tall , spreading by offset ."
Aloe_vera,Cacti/Succulent,cm,60.0,100.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Aloe_vera,"== Description == Aloe vera is a stemless or very short-stemmed plant growing to 60–100 cm ( 24–39 in ) tall , spreading by offset ."
Aloe_vera,Cacti/Succulent,in,0.8,1.2,35.0,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Aloe_vera,"The flower are produced in summer on a spike up to 90 cm ( 35 in ) tall , each flower being pendulous , with a yellow tubular corolla 2–3 cm ( 0.8–1.2 in ) long ."
Aloe_vera,Cacti/Succulent,cm,2.0,3.0,90.0,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Aloe_vera,"The flower are produced in summer on a spike up to 90 cm ( 35 in ) tall , each flower being pendulous , with a yellow tubular corolla 2–3 cm ( 0.8–1.2 in ) long ."
Anisacanthus_quadrifidus,Perennial,ft,4920.0,8040.0,8040.0,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Anisacanthus_quadrifidus,It is also frequently on crop bank or in sloped arid area at height from 1500 to 2450 meter ( 4920 to 8040 ft ) above sea level .
Anisacanthus_quadrifidus,Perennial,m,1500.0,2450.0,2450.0,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Anisacanthus_quadrifidus,It is also frequently on crop bank or in sloped arid area at height from 1500 to 2450 meter ( 4920 to 8040 ft ) above sea level .
Aquilegia_chrysantha,Perennial,x,x,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Aquilegia_chrysantha,x
Asparagus_densiflorus,Perennial,x,x,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Asparagus_densiflorus,x
Astrolepis,Fern,x,x,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Astrolepis,x
Bignonia_capreolata,Vine,x,x,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Bignonia_capreolata,x
Bouteloua_dactyloides,Grass (Lawn),in,3.9,7.9,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Bouteloua_dactyloides,Flower stalk are 10–20 cm ( 3.9–7.9 in ) tall .
Bouteloua_dactyloides,Grass (Lawn),cm,10.0,20.0,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Bouteloua_dactyloides,Flower stalk are 10–20 cm ( 3.9–7.9 in ) tall .
Buddleja_davidii,Shrub,ft,16.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buddleja_davidii,"== Description == Buddleja davidii is a vigorous shrub with an arching habit , growing to 5 m ( 16 ft ) in height ."
Buddleja_davidii,Shrub,m,5.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buddleja_davidii,"== Description == Buddleja davidii is a vigorous shrub with an arching habit , growing to 5 m ( 16 ft ) in height ."
Buxus_microphylla,Shrub,in,0.39,0.98,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_microphylla,"It is a dwarf evergreen shrub or small tree growing to 1 m ( 3.3 ft ) tall and wide .The bright green leaf are 10–25 millimetre ( 0.39–0.98 in ) long , oval with a rounded or notched tip ."
Buxus_microphylla,Shrub,ft,3.3,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_microphylla,"It is a dwarf evergreen shrub or small tree growing to 1 m ( 3.3 ft ) tall and wide .The bright green leaf are 10–25 millimetre ( 0.39–0.98 in ) long , oval with a rounded or notched tip ."
Buxus_microphylla,Shrub,m,1.0,x,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_microphylla,"It is a dwarf evergreen shrub or small tree growing to 1 m ( 3.3 ft ) tall and wide .The bright green leaf are 10–25 millimetre ( 0.39–0.98 in ) long , oval with a rounded or notched tip ."
Buxus_microphylla,Shrub,ft,3.3,4.9,x,x,x,x,x,x,x,x,https://en.wikipedia.org/wiki/Buxus_microphylla,The cultivar ‘ Faulkner ’ ( 1 metre ( 3.3 ft ) tall by 1.5 metre ( 4.9 ft ) broad ) ha gained the Royal Horticultural Society ’ s Award of Garden Merit .
