Botanical Name,Page Name,Category,Wikilink,,
Abelia Grandiflora,Linnaea_×_grandiflora,Shrub,https://en.wikipedia.org/wiki/Linnaea_%C3%97_grandiflora,,
Acer Palmatum,Acer_palmatum,Tree,https://en.wikipedia.org/wiki/Acer_palmatum,,
Acer Truncatum,Acer_truncatum,Tree,https://en.wikipedia.org/wiki/Acer_truncatum,,
Aesculus Pavia,Aesculus_pavia,Tree,https://en.wikipedia.org/wiki/Aesculus_pavia,,
Agave Parryi,Agave_parryi,Cacti/Succulent,https://en.wikipedia.org/wiki/Agave_parryi,,
Aloe Vera,Aloe_vera,Cacti/Succulent,https://en.wikipedia.org/wiki/Aloe_vera,,
Anisacanthus Quadrifidus,Anisacanthus_quadrifidus,Perennial,https://en.wikipedia.org/wiki/Anisacanthus_quadrifidus,,
Aquiligia Chrysantha,Aquilegia_chrysantha,Perennial,https://en.wikipedia.org/wiki/Aquilegia_chrysantha,Aquilegia chrysantha,
Asparagus Densiflorus,Asparagus_densiflorus,Perennial,https://en.wikipedia.org/wiki/Asparagus_densiflorus,,
Astrolepis,Astrolepis,Fern,https://en.wikipedia.org/wiki/Astrolepis,Astrolepis Sinuata,
Bignonia Capreolata,Bignonia_capreolata,Vine,https://en.wikipedia.org/wiki/Bignonia_capreolata,,
Buchloe Dactyloides,Bouteloua_dactyloides,Grass (Lawn),https://en.wikipedia.org/wiki/Bouteloua_dactyloides,,
Buddleja davidii,Buddleja_davidii,Shrub,https://en.wikipedia.org/wiki/Buddleja_davidii,Buddleia Davidii,
Buxus Microphylla,Buxus_microphylla,Shrub,https://en.wikipedia.org/wiki/Buxus_microphylla,,
Buxus Sempervirens,Buxus_sempervirens,Shrub,https://en.wikipedia.org/wiki/Buxus_sempervirens,,
Caladium,Caladium,Perennial,https://en.wikipedia.org/wiki/Caladium,Caladium Bicolor,
Callicarpa Americana,Callicarpa_americana,Shrub,https://en.wikipedia.org/wiki/Callicarpa_americana,,
Calyptocarpus,Calyptocarpus,Ground Cover,https://en.wikipedia.org/wiki/Calyptocarpus,Calyptocarpus Vialis,
Carex Tumulicola,Carex_tumulicola,Grass (Ornamental),https://en.wikipedia.org/wiki/Carex_tumulicola,,
Cercis Canadensis,Cercis_canadensis,Tree,https://en.wikipedia.org/wiki/Cercis_canadensis,,
Cercis Canadensis var. texensis,NILL,,NILL,NILL,
Chamaemelum Nobile,Chamaemelum_nobile,Herb,https://en.wikipedia.org/wiki/Chamaemelum_nobile,,
Chasmanthium Latifolium,Chasmanthium_latifolium,Perennial,https://en.wikipedia.org/wiki/Chasmanthium_latifolium,,
Chasmanthium Sessiliflorum,NILL,,NILL,NILL,
Chilopsis,Chilopsis,Tree,https://en.wikipedia.org/wiki/Chilopsis,Chilopsis Linearis,
Chrysactinia Mexicana,Chrysactinia_mexicana,Perennial,https://en.wikipedia.org/wiki/Chrysactinia_mexicana,,
