Botanical Name,Page Name,Category,Wikilink
Sedum Nevii,NILL,Cacti/Succulent,NILL
Sedum Pulchellum,Sedum_pulchellum,Cacti/Succulent,https://en.wikipedia.org/wiki/Sedum_pulchellum
Sedum Reflexum,Sedum_reflexum,Cacti/Succulent,https://en.wikipedia.org/wiki/Sedum_reflexum
Sedum Rubrotinctum,Sedum_rubrotinctum,Perennial,https://en.wikipedia.org/wiki/Sedum_rubrotinctum
Sedum Spathulifolium,Sedum_spathulifolium,Cacti/Succulent,https://en.wikipedia.org/wiki/Sedum_spathulifolium
Sedum Ternatum,Sedum_ternatum,Perennial,https://en.wikipedia.org/wiki/Sedum_ternatum
Selaginella Kraussiana,Selaginella_kraussiana,Perennial,https://en.wikipedia.org/wiki/Selaginella_kraussiana
Senecio Mandraliscae,NILL,Shrub,NILL
Sequoia Sempervirens,Sequoia_sempervirens,Tree,https://en.wikipedia.org/wiki/Sequoia_sempervirens
Sequoiadendron Giganteum,Sequoiadendron_giganteum,Tree,https://en.wikipedia.org/wiki/Sequoiadendron_giganteum
Serenoa Repens,Serenoa,Tropical,https://en.wikipedia.org/wiki/Serenoa
Sesbania Punicea,Sesbania_punicea,Shrub,https://en.wikipedia.org/wiki/Sesbania_punicea
Sesleria Autumnalis,NILL,Grass (Ornamental),NILL
Sesleria Heufleriana,Sesleria_heufleriana,Grass (Ornamental),https://en.wikipedia.org/wiki/Sesleria_heufleriana
Sidalcea Hendersonii,Sidalcea_hendersonii,Perennial,https://en.wikipedia.org/wiki/Sidalcea_hendersonii
Silene Acaulis,Silene_acaulis,Perennial,https://en.wikipedia.org/wiki/Silene_acaulis
Simmondsia Chinensis,Jojoba,Shrub,https://en.wikipedia.org/wiki/Jojoba
Sisyrinchium Montanum,Sisyrinchium_montanum,Grass (Ornamental),https://en.wikipedia.org/wiki/Sisyrinchium_montanum
Skimmia Japonica,Skimmia_japonica,Shrub,https://en.wikipedia.org/wiki/Skimmia_japonica
Solanum laxum,Solanum_laxum,Vine,https://en.wikipedia.org/wiki/Solanum_laxum
Solanum Melongena,Eggplant,Vegetable,https://en.wikipedia.org/wiki/Eggplant
Solanum Tuberosum,Solanum_tuberosum,Vegetable,https://en.wikipedia.org/wiki/Solanum_tuberosum
Soleirolia Soleirolii,Soleirolia,Annual,https://en.wikipedia.org/wiki/Soleirolia
Solenostemon Scutellarioides,Plectranthus_scutellarioides,Annual,https://en.wikipedia.org/wiki/Plectranthus_scutellarioides
Solidago Caesia,Solidago_caesia,Perennial,https://en.wikipedia.org/wiki/Solidago_caesia
Solidago Sempervirens,Solidago_sempervirens,Perennial,https://en.wikipedia.org/wiki/Solidago_sempervirens
Sollya Heterophylla,Billardiera_heterophylla,Shrub,https://en.wikipedia.org/wiki/Billardiera_heterophylla
Sorbaria Sorbifolia,Sorbaria_sorbifolia,Shrub,https://en.wikipedia.org/wiki/Sorbaria_sorbifolia
Sorbus Aucuparia,Sorbus_aucuparia,Tree,https://en.wikipedia.org/wiki/Sorbus_aucuparia
Sorbus Decora,Sorbus_decora,Tree,https://en.wikipedia.org/wiki/Sorbus_decora
Sparaxis Tricolor,Sparaxis_tricolor,Perennial,https://en.wikipedia.org/wiki/Sparaxis_tricolor
Spartina Bakeri,Spartina_bakeri,Grass (Ornamental),https://en.wikipedia.org/wiki/Spartina_bakeri
Spartium Junceum,Spartium,Shrub,https://en.wikipedia.org/wiki/Spartium
Spathodea Campanulata,Spathodea,Tree,https://en.wikipedia.org/wiki/Spathodea
Spathoglottis Plicata,Spathoglottis_plicata,Tropical,https://en.wikipedia.org/wiki/Spathoglottis_plicata
Sphaeralcea Ambigua,Sphaeralcea_ambigua,Perennial,https://en.wikipedia.org/wiki/Sphaeralcea_ambigua
Spilanthes Oleracea,Acmella_oleracea,Annual,https://en.wikipedia.org/wiki/Acmella_oleracea
Spinacia Oleracea,Spinach,Vegetable,https://en.wikipedia.org/wiki/Spinach
Spiraea Albiflora,NILL,Shrub,NILL
Spiraea Japonica,Spiraea_japonica,Shrub,https://en.wikipedia.org/wiki/Spiraea_japonica
Spiraea Thunbergii,Spiraea_thunbergii,Shrub,https://en.wikipedia.org/wiki/Spiraea_thunbergii
Stachytarpheta Jamaicensis,Stachytarpheta_jamaicensis,Perennial,https://en.wikipedia.org/wiki/Stachytarpheta_jamaicensis
Stevia Rebaudiana,Stevia_rebaudiana,Herb,https://en.wikipedia.org/wiki/Stevia_rebaudiana
Stipa Barbata,Stipa_barbata,Grass (Ornamental),https://en.wikipedia.org/wiki/Stipa_barbata
Stokesia Laevis,Stokesia_laevis,Perennial,https://en.wikipedia.org/wiki/Stokesia_laevis
Strelitzia Nicolai,Strelitzia_nicolai,House Plant,https://en.wikipedia.org/wiki/Strelitzia_nicolai
Strelitzia Reginae,Strelitzia_reginae,House Plant,https://en.wikipedia.org/wiki/Strelitzia_reginae
Streptosolen Jamesonii,Streptosolen,Shrub,https://en.wikipedia.org/wiki/Streptosolen
Syagrus Romanzoffiana,Syagrus_romanzoffiana,House Plant,https://en.wikipedia.org/wiki/Syagrus_romanzoffiana
Symphoricarpos Albus,Symphoricarpos_albus,Shrub,https://en.wikipedia.org/wiki/Symphoricarpos_albus
Synsepalum Dulcificum,Synsepalum_dulcificum,Tree,https://en.wikipedia.org/wiki/Synsepalum_dulcificum
Syringa Josikaea,Syringa_josikaea,Shrub,https://en.wikipedia.org/wiki/Syringa_josikaea
Syringa Meyeri,Syringa_pubescens,Shrub,https://en.wikipedia.org/wiki/Syringa_pubescens
Syringa Pekinensis,NILL,Shrub,NILL
Syringa Reticulata,Syringa_reticulata,Shrub,https://en.wikipedia.org/wiki/Syringa_reticulata
Syringa Villosa,Syringa_villosa,Shrub,https://en.wikipedia.org/wiki/Syringa_villosa
Syringa Vulgaris,Syringa_vulgaris,Shrub,https://en.wikipedia.org/wiki/Syringa_vulgaris
Syzygium Paniculatum,Syzygium_paniculatum,Tree,https://en.wikipedia.org/wiki/Syzygium_paniculatum
Tabebuia Heterophylla,Tabebuia_heterophylla,Tree,https://en.wikipedia.org/wiki/Tabebuia_heterophylla
Tagetes Erecta,Tagetes_erecta,Annual,https://en.wikipedia.org/wiki/Tagetes_erecta
Tagetes Lemmonii,Tagetes_lemmonii,Perennial,https://en.wikipedia.org/wiki/Tagetes_lemmonii
Tagetes Lucida,Tagetes_lucida,Herb,https://en.wikipedia.org/wiki/Tagetes_lucida
Tagetes Patula,Tagetes_patula,Annual,https://en.wikipedia.org/wiki/Tagetes_patula
Taxodium Distichum,Taxodium_distichum,Tree,https://en.wikipedia.org/wiki/Taxodium_distichum
Tecoma Stans,Tecoma_stans,House Plant,https://en.wikipedia.org/wiki/Tecoma_stans
Teucrium Chamaedrys,Teucrium_chamaedrys,Perennial,https://en.wikipedia.org/wiki/Teucrium_chamaedrys
Thalia Dealbata,Thalia_dealbata,Perennial,https://en.wikipedia.org/wiki/Thalia_dealbata
Thalictrum Aquilegifolium,Thalictrum_aquilegiifolium,Perennial,https://en.wikipedia.org/wiki/Thalictrum_aquilegiifolium
Thermopsis Villosa,Thermopsis_villosa,Perennial,https://en.wikipedia.org/wiki/Thermopsis_villosa
Thevetia Peruviana,Cascabela_thevetia,Perennial,https://en.wikipedia.org/wiki/Cascabela_thevetia
Thrinax Radiata,Thrinax_radiata,Tropical,https://en.wikipedia.org/wiki/Thrinax_radiata
Thuja Plicata,Thuja_plicata,Tree,https://en.wikipedia.org/wiki/Thuja_plicata
Thunbergia Alata,Thunbergia_alata,Annual,https://en.wikipedia.org/wiki/Thunbergia_alata
Thunbergia Erecta,Thunbergia_erecta,Annual,https://en.wikipedia.org/wiki/Thunbergia_erecta
Thunbergia Grandiflora,Thunbergia_grandiflora,Annual,https://en.wikipedia.org/wiki/Thunbergia_grandiflora
Thymus Vulgaris,Thymus_vulgaris,Herb,https://en.wikipedia.org/wiki/Thymus_vulgaris
Tiarella Cordifolia,Tiarella_cordifolia,Perennial,https://en.wikipedia.org/wiki/Tiarella_cordifolia
Tibouchina Heteromalla,Tibouchina_heteromalla,Shrub,https://en.wikipedia.org/wiki/Tibouchina_heteromalla
Tibouchina Urvilleana,Tibouchina_urvilleana,Shrub,https://en.wikipedia.org/wiki/Tibouchina_urvilleana
Tilia Cordata,Tilia_cordata,Tree,https://en.wikipedia.org/wiki/Tilia_cordata
Tipuana Tipu,Tipuana,Tree,https://en.wikipedia.org/wiki/Tipuana
Tithonia Rotundifolia,Tithonia_rotundifolia,Annual,https://en.wikipedia.org/wiki/Tithonia_rotundifolia
Torenia Fournieri,Torenia_fournieri,Annual,https://en.wikipedia.org/wiki/Torenia_fournieri
Trachycarpus Fortunei,Trachycarpus_fortunei,Tree,https://en.wikipedia.org/wiki/Trachycarpus_fortunei
Tradescantia Hirsuticaulis,Tradescantia_hirsuticaulis,Perennial,https://en.wikipedia.org/wiki/Tradescantia_hirsuticaulis
Tradescantia Ohiensis,Tradescantia_ohiensis,Perennial,https://en.wikipedia.org/wiki/Tradescantia_ohiensis
Tradescantia Spathacea,Tradescantia_spathacea,Perennial,https://en.wikipedia.org/wiki/Tradescantia_spathacea
Tricyrtis Hirta,Tricyrtis_hirta,Perennial,https://en.wikipedia.org/wiki/Tricyrtis_hirta
Triteleia Laxa,Triteleia_laxa,Flowering Bulb,https://en.wikipedia.org/wiki/Triteleia_laxa
Tropaeolum Majus,Tropaeolum_majus,Annual,https://en.wikipedia.org/wiki/Tropaeolum_majus
Tsuga Canadensis,Tsuga_canadensis,Tree,https://en.wikipedia.org/wiki/Tsuga_canadensis
Tsuga Heterophylla,Tsuga_heterophylla,Tree,https://en.wikipedia.org/wiki/Tsuga_heterophylla
Tsuga Mertensiana,Tsuga_mertensiana,Tree,https://en.wikipedia.org/wiki/Tsuga_mertensiana
Turnera Ulmifolia,Turnera_ulmifolia,Tropical,https://en.wikipedia.org/wiki/Turnera_ulmifolia
Ugni Molinae,Ugni_molinae,Tree,https://en.wikipedia.org/wiki/Ugni_molinae
Ulmus Americana,Ulmus_americana,Tree,https://en.wikipedia.org/wiki/Ulmus_americana
Vaccinium Angustifolium,Vaccinium_angustifolium,Fruit,https://en.wikipedia.org/wiki/Vaccinium_angustifolium
Vaccinium Corymbosum,Vaccinium_corymbosum,Fruit,https://en.wikipedia.org/wiki/Vaccinium_corymbosum
Vaccinium Elliottii,Vaccinium_elliottii,Fruit,https://en.wikipedia.org/wiki/Vaccinium_elliottii
Vaccinium Macrocarpon,Vaccinium_macrocarpon,Fruit,https://en.wikipedia.org/wiki/Vaccinium_macrocarpon
Valeriana Officinalis,Valerian_(herb),Perennial,https://en.wikipedia.org/wiki/Valeriana_officinalis
Vauquelinia Californica,Vauquelinia_californica,Tree,https://en.wikipedia.org/wiki/Vauquelinia_californica
Verbena Hastata,Verbena_hastata,Perennial,https://en.wikipedia.org/wiki/Verbena_hastata
Verbena Stricta,Verbena_stricta,Perennial,https://en.wikipedia.org/wiki/Verbena_stricta
Vernonia Noveboracensis,Vernonia_noveboracensis,Perennial,https://en.wikipedia.org/wiki/Vernonia_noveboracensis
Veronica Spicata,Veronica_spicata,Perennial,https://en.wikipedia.org/wiki/Veronica_spicata
Veronicastrum Virginicum,Veronicastrum_virginicum,Perennial,https://en.wikipedia.org/wiki/Veronicastrum_virginicum
Viburnum Carlesii,Viburnum_carlesii,Shrub,https://en.wikipedia.org/wiki/Viburnum_carlesii
Viburnum Dentatum,Viburnum_dentatum,Shrub,https://en.wikipedia.org/wiki/Viburnum_dentatum
Viburnum Japonicum,NILL,Shrub,NILL
Viburnum Lentago,Viburnum_lentago,Shrub,https://en.wikipedia.org/wiki/Viburnum_lentago
Viburnum Obovatum,NILL,Shrub,NILL
Viburnum Odoratissimum,Viburnum_odoratissimum,Shrub,https://en.wikipedia.org/wiki/Viburnum_odoratissimum
Viburnum Opulus,Viburnum_opulus,Shrub,https://en.wikipedia.org/wiki/Viburnum_opulus
Viburnum Rhytidophyllum,Viburnum_rhytidophyllum,Shrub,https://en.wikipedia.org/wiki/Viburnum_rhytidophyllum
Viburnum Suspensum,Viburnum_suspensum,Shrub,https://en.wikipedia.org/wiki/Viburnum_suspensum
Vigna Caracalla,Cochliasanthus,Perennial,https://en.wikipedia.org/wiki/Cochliasanthus
Vinca Major,Vinca_major,Perennial,https://en.wikipedia.org/wiki/Vinca_major
Vinca Minor,Vinca_minor,Perennial,https://en.wikipedia.org/wiki/Vinca_minor
