Botanical Name,
Ceratopteris pteridoides,
Ceratopteris richardii,
Ceratopteris thalictroides,
Ceratostigma plumbaginoides,
Ceratostigma willmottianum,
Ceratotheca sesamoides,
Ceratotheca triloba,
Cerbera dilatata,
Cerbera floribunda,
Cerbera manghas,
Cercidiphyllum japonicum,
Cercidospora decolorella,
Cercidospora epicarpinea,
Cercidospora epipolytropa,
Cercidospora ulothii,
Cercis canadensis,
Cercis orbiculata,
Cercis siliquastrum,
Cercocarpus intricatus,
Cercocarpus ledifolius,
Cercocarpus montanus,
Cercocarpus traskiae,
Cereus hexagonus,
Cereus hildmannianus,
Cerinthe major,
Ceriops tagal,
Ceropegia woodii,
Ceroxylon alpinum,
Cestrum alternifolium,
Cestrum aurantiacum,
Cestrum daphnoides,
Cestrum diurnum,
Cestrum elegans,
Cestrum fasciculatum,
Cestrum laurifolium,
Cestrum nocturnum,
Cestrum parqui,
Cestrum salicifolium,
Cetraria aculeata,
Cetraria arenaria,
Cetraria ericetorum,
Cetraria islandica,
Cetraria kamczatica,
Cetraria laevigata,
Cetraria muricata,
Cetraria nigricans,
Cetraria odontella,
Cetrariella delisei,
Cetrariella fastigiata,
Cetrelia alaskana,
Cetrelia cetrarioides,
Cetrelia chicitae,
Cetrelia monachorum,
Cetrelia olivetorum,
Cevallia sinuata,
Chaenactis alpigena,
Chaenactis artemisiifolia,
Chaenactis carphoclinia,
Chaenactis cusickii,
Chaenactis douglasii,
Chaenactis evermannii,
Chaenactis fremontii,
Chaenactis glabriuscula,
Chaenactis macrantha,
Chaenactis nevadensis,
Chaenactis nevii,
Chaenactis parishii,
Chaenactis santolinoides,
Chaenactis stevioides,
Chaenactis suffrutescens,
Chaenactis thompsonii,
Chaenactis xantiana,
Chaenomeles japonica,
Chaenomeles speciosa,
Chaenomeles superba,
Chaenorhinum calycinum,
Chaenorhinum minus,
Chaenotheca brachypoda,
Chaenotheca brunneola,
Chaenotheca chlorella,
Chaenotheca chrysocephala,
Chaenotheca cinerea,
Chaenotheca ferruginea,
Chaenotheca floridana,
Chaenotheca furfuracea,
Chaenotheca gracillima,
Chaenotheca hispidula,
Chaenotheca laevigata,
Chaenotheca phaeocephala,
Chaenotheca stemonea,
Chaenotheca subroscida,
Chaenotheca trichialis,
Chaenotheca xyloxena,
Chaenothecopsis brevipes,
Chaenothecopsis consociata,
Chaenothecopsis debilis,
Chaenothecopsis epithallina,
Chaenothecopsis nana,
Chaenothecopsis norstictica,
Chaenothecopsis pilosa,
Chaenothecopsis pusilla,
Chaenothecopsis pusiola,
Chaenothecopsis rappii,
Chaenothecopsis rubescens,
Chaenothecopsis savonica,
Chaenothecopsis viridialba,
Chaenothecopsis viridireagens,
Chaerophyllum aromaticum,
Chaerophyllum bulbosum,
Chaerophyllum procumbens,
Chaerophyllum tainturieri,
Chaerophyllum temulum,
Chaetadelpha wheeleri,
Chaetopappa asteroides,
Chaetopappa bellidifolia,
Chaetopappa bellioides,
Chaetopappa effusa,
Chaetopappa ericoides,
Chaetopappa hersheyi,
Chaetopappa imberbis,
Chaetopappa parryi,
Chaiturus marrubiastrum,
Chamaebatia australis,
Chamaebatia foliolosa,
Chamaebatiaria millefolium,
Chamaechaenactis scaposa,
Chamaecrista absus,
Chamaecrista calycioides,
Chamaecrista chamaecristoides,
Chamaecrista deeringiana,
Chamaecrista desvauxii,
Chamaecrista dimidiata,
Chamaecrista diphylla,
Chamaecrista fasciculata,
Chamaecrista flexuosa,
Chamaecrista glandulosa,
Chamaecrista greggii,
Chamaecrista lineata,
Chamaecrista mimosoides,
Chamaecrista nictitans,
Chamaecrista pilosa,
Chamaecrista portoricensis,
Chamaecrista ramosa,
Chamaecrista rotundifolia,
Chamaecrista serpens,
Chamaecyparis lawsoniana,
Chamaecyparis obtusa,
Chamaecyparis pisifera,
Chamaecyparis thyoides,
Chamaecytisus glaber,
Chamaecytisus hirsutus,
Chamaecytisus mollis,
Chamaecytisus palmensis,
Chamaecytisus prolifera,
Chamaecytisus ratisbonensis,
Chamaecytisus supinus,
Chamaedaphne calyculata,
Chamaedorea costaricana,
Chamaedorea elegans,
Chamaedorea seifrizii,
Chamaelirium luteum,
Chamaemelum fuscatum,
Chamaemelum mixtum,
Chamaemelum nobile,
Chamaerhodos erecta,
Chamaerops humilis,
Chamaesaracha coniodes,
Chamaesaracha coronopus,
Chamaesaracha crenata,
Chamaesaracha edwardsiana,
Chamaesaracha pallida,
Chamaesaracha sordida,
Chamaesaracha villosa,
Chamaesyce abramsiana,
Chamaesyce acuta,
Chamaesyce adenoptera,
Chamaesyce albomarginata,
Chamaesyce angusta,
Chamaesyce arizonica,
Chamaesyce arnottiana,
Chamaesyce articulata,
Chamaesyce astyla,
Chamaesyce atoto,
Chamaesyce atrococca,
Chamaesyce berteriana,
Chamaesyce bifida,
Chamaesyce blodgettii,
Chamaesyce bombensis,
Chamaesyce capitellata,
Chamaesyce carunculata,
Chamaesyce celastroides,
Chamaesyce chaetocalyx,
Chamaesyce chamissonis,
Chamaesyce cinerascens,
Chamaesyce clusiifolia,
Chamaesyce conferta,
Chamaesyce cordifolia,
Chamaesyce cowellii,
Chamaesyce cumulicola,
Chamaesyce degeneri,
Chamaesyce deltoidea,
Chamaesyce deppeana,
